id;nome;siglaPartido;siglaUf;urlFoto
160642;Pastor Eurico;PSDB;PE;https://www.camara.leg.br/internet/deputado/bandep/160642.jpg
204570;Pastor Gil;PL;MA;https://www.camara.leg.br/internet/deputado/bandep/204570.jpg
220615;Pastor Henrique Vieira;PSOL;RJ;https://www.camara.leg.br/internet/deputado/bandep/220615.jpg
204553;Pastor Sargento Isidório;AVANTE;BA;https://www.camara.leg.br/internet/deputado/bandep/204553.jpg
74160;Patrus Ananias;PT;MG;https://www.camara.leg.br/internet/deputado/bandep/74160.jpg
171617;Paulão;PT;AL;https://www.camara.leg.br/internet/deputado/bandep/171617.jpg
141518;Paulinho da Força;SOLIDARIEDADE;SP;https://www.camara.leg.br/internet/deputado/bandep/141518.jpg
141516;Paulo Abi-Ackel;PSDB;MG;https://www.camara.leg.br/internet/deputado/bandep/141516.jpg
220650;Paulo Alexandre Barbosa;PSD;SP;https://www.camara.leg.br/internet/deputado/bandep/220650.jpg
178860;Paulo Azi;UNIÃO;BA;https://www.camara.leg.br/internet/deputado/bandep/178860.jpg
160517;Paulo Folletto;PSB;ES;https://www.camara.leg.br/internet/deputado/bandep/160517.jpg
160558;Paulo Freire Costa;PL;SP;https://www.camara.leg.br/internet/deputado/bandep/160558.jpg
204492;Paulo Guedes;PT;MG;https://www.camara.leg.br/internet/deputado/bandep/204492.jpg
233592;Paulo Lemos;PT;AP;https://www.camara.leg.br/internet/deputado/bandep/233592.jpg
220685;Paulo Litro;UNIÃO;PR;https://www.camara.leg.br/internet/deputado/bandep/220685.jpg
74574;Paulo Magalhães;PSD;BA;https://www.camara.leg.br/internet/deputado/bandep/74574.jpg
74400;Paulo Pimenta;PT;RS;https://www.camara.leg.br/internet/deputado/bandep/74400.jpg
154700;Paulo Soares;PODE;SP;https://www.camara.leg.br/internet/deputado/bandep/154700.jpg
141488;Paulo Teixeira;PT;SP;https://www.camara.leg.br/internet/deputado/bandep/141488.jpg
220630;Pedro Aihara;PP;MG;https://www.camara.leg.br/internet/deputado/bandep/220630.jpg
220667;Pedro Campos;PSB;PE;https://www.camara.leg.br/internet/deputado/bandep/220667.jpg
122974;Pedro Lucas Fernandes;UNIÃO;MA;https://www.camara.leg.br/internet/deputado/bandep/122974.jpg
204395;Pedro Lupion;REPUBLICANOS;PR;https://www.camara.leg.br/internet/deputado/bandep/204395.jpg
122158;Pedro Paulo;PSD;RJ;https://www.camara.leg.br/internet/deputado/bandep/122158.jpg
160604;Pedro Uczai;PT;SC;https://www.camara.leg.br/internet/deputado/bandep/160604.jpg
204406;Pedro Westphalen;PP;RS;https://www.camara.leg.br/internet/deputado/bandep/204406.jpg
161440;Pezenti;MDB;SC;https://www.camara.leg.br/internet/deputado/bandep/161440.jpg
204524;Pinheirinho;PP;MG;https://www.camara.leg.br/internet/deputado/bandep/204524.jpg
73486;Pompeo de Mattos;PDT;RS;https://www.camara.leg.br/internet/deputado/bandep/73486.jpg
160601;Pr. Marco Feliciano;PL;SP;https://www.camara.leg.br/internet/deputado/bandep/160601.jpg
220533;Prof. Reginaldo Veras;PV;DF;https://www.camara.leg.br/internet/deputado/bandep/220533.jpg
204390;Professor Alcides;PSDB;GO;https://www.camara.leg.br/internet/deputado/bandep/204390.jpg
221338;Professora Luciene Cavalcante;PSOL;SP;https://www.camara.leg.br/internet/deputado/bandep/221338.jpg
160641;Professora Marcivania;PCdoB;AP;https://www.camara.leg.br/internet/deputado/bandep/160641.jpg
220586;Rafael Brito;MDB;AL;https://www.camara.leg.br/internet/deputado/bandep/220586.jpg
233594;Rafael Fera;PODE;RO;https://www.camara.leg.br/internet/deputado/bandep/233594.jpg
220532;Rafael Prudente;MDB;DF;https://www.camara.leg.br/internet/deputado/bandep/220532.jpg
220626;Rafael Simoes;UNIÃO;MG;https://www.camara.leg.br/internet/deputado/bandep/220626.jpg
204567;Raimundo Costa;PSD;BA;https://www.camara.leg.br/internet/deputado/bandep/204567.jpg
74084;Raimundo Santos;PSD;PA;https://www.camara.leg.br/internet/deputado/bandep/74084.jpg
115200;Raniery Paulino;REPUBLICANOS;PB;https://www.camara.leg.br/internet/deputado/bandep/115200.jpg
74161;Reginaldo Lopes;PT;MG;https://www.camara.leg.br/internet/deputado/bandep/74161.jpg
220606;Reimont;PT;RJ;https://www.camara.leg.br/internet/deputado/bandep/220606.jpg
153423;Renilce Nicodemos;MDB;PA;https://www.camara.leg.br/internet/deputado/bandep/153423.jpg
73801;Renildo Calheiros;PCdoB;PE;https://www.camara.leg.br/internet/deputado/bandep/73801.jpg
175765;Ribamar Silva;PODE;SP;https://www.camara.leg.br/internet/deputado/bandep/175765.jpg
221329;Ricardo Abrão;PSDB;RJ;https://www.camara.leg.br/internet/deputado/bandep/221329.jpg
220543;Ricardo Ayres;REPUBLICANOS;TO;https://www.camara.leg.br/internet/deputado/bandep/220543.jpg
73788;Ricardo Barros;PP;PR;https://www.camara.leg.br/internet/deputado/bandep/73788.jpg
204362;Ricardo Guidi;PL;SC;https://www.camara.leg.br/internet/deputado/bandep/204362.jpg
220694;Ricardo Maia;MDB;BA;https://www.camara.leg.br/internet/deputado/bandep/220694.jpg
220633;Ricardo Salles;NOVO;SP;https://www.camara.leg.br/internet/deputado/bandep/220633.jpg
204489;Robério Monteiro;PSB;CE;https://www.camara.leg.br/internet/deputado/bandep/204489.jpg
